Checked	Master	Accession	Description	Coverage	# Peptides	# PSMs	# Unique Peptides	# Protein Groups	# AAs	MW [kDa]	calc. pI	Modifications	Entrez Gene ID	Ensembl Gene ID	Gene ID	Chromosome	Biological Process	Cellular Component	Molecular Function	Pfam IDs	"Abundance Ratio: (127N, Ctrl) / (126, Ctrl)"	"Abundance Ratio: (127C, Ctrl) / (126, Ctrl)"	"Abundance Ratio: (128N, Ctrl) / (126, Ctrl)"	"Abundance Ratio: (128C, Ctrl) / (126, Ctrl)"	"Abundance Ratio: (129N, Ctrl) / (126, Ctrl)"	"Abundance Ratio: (129C, Ctrl) / (126, Ctrl)"	"Abundance Ratio: (130N, Ctrl) / (126, Ctrl)"	"Abundance Ratio: (130C, Ctrl) / (126, Ctrl)"	"Abundance Ratio: (131, Ctrl) / (126, Ctrl)"	"Abundance: F1: 126, Sample, Ctrl"	"Abundance: F1: 127N, Sample, Ctrl"	"Abundance: F1: 127C, Sample, Ctrl"	"Abundance: F1: 128N, Sample, Ctrl"	"Abundance: F1: 128C, Sample, Ctrl"	"Abundance: F1: 129N, Sample, Ctrl"	"Abundance: F1: 129C, Sample, Ctrl"	"Abundance: F1: 130N, Sample, Ctrl"	"Abundance: F1: 130C, Sample, Ctrl"	"Abundance: F1: 131, Sample, Ctrl"	"Abundances Count: F1: 126, Sample, Ctrl"	"Abundances Count: F1: 127N, Sample, Ctrl"	"Abundances Count: F1: 127C, Sample, Ctrl"	"Abundances Count: F1: 128N, Sample, Ctrl"	"Abundances Count: F1: 128C, Sample, Ctrl"	"Abundances Count: F1: 129N, Sample, Ctrl"	"Abundances Count: F1: 129C, Sample, Ctrl"	"Abundances Count: F1: 130N, Sample, Ctrl"	"Abundances Count: F1: 130C, Sample, Ctrl"	"Abundances Count: F1: 131, Sample, Ctrl"	emPAI	# Razor Peptides	Score Sequest HT	# Peptides Sequest HT	Score Mascot	# Peptides Mascot
FALSE	IsMasterProtein	P00338-3	Isoform 3 of L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA	60.94182825	23	694	20	1	361	39.812	8.43		3939	ENSG00000134333	LDHA	11	cell communication;metabolic process;regulation of biological process;response to stimulus	cytosol;membrane;mitochondrion;nucleus	catalytic activity;nucleotide binding;protein binding	"Pf00056, Pf02866"	0.924	1.018	0.88	0.804	0.635	0.546	0.369	0.201	0.1	78329.7	72352.7	79718.6	68936.9	62946.9	49724.4	42764.6	28886.3	15764.1	7832.3	37	37	37	37	37	37	37	37	37	37	39.471	5	1230.945873	23	6109.736055	17
FALSE	IsMasterProtein	P00352	Retinal dehydrogenase 1 OS=Homo sapiens GN=ALDH1A1 PE=1 SV=2	44.11177645	21	83	17	1	501	54.827	6.73		216	ENSG00000165092	ALDH1A1	9	metabolic process;regulation of biological process	cytoplasm;cytosol	catalytic activity;enzyme regulator activity	"Pf00171, Pf05893, Pf07368"	1.004	1.065	0.976	0.844	0.671	0.59	0.483	0.443	0.362	8217.4	8250.2	8754.9	8023.4	6937.7	5516.2	4844.8	3966	3642.5	2973.3	22	22	22	22	22	22	22	22	22	22	8.183	1	172.5558745	21	951.3335612	19
FALSE	IsMasterProtein	P00367	"Glutamate dehydrogenase 1, mitochondrial OS=Homo sapiens GN=GLUD1 PE=1 SV=2"	33.69175627	18	83	5	1	558	61.359	7.8		2746	ENSG00000148672	GLUD1	10	metabolic process;regulation of biological process	cytoplasm;mitochondrion;organelle lumen	catalytic activity;nucleotide binding;protein binding	"Pf00208, Pf02812"	0.914	0.957	0.835	0.721	0.483	0.234	0.085	0.064	0.058	13763.8	12575.6	13175.3	11499.2	9920.9	6653.8	3226.2	1171.5	875.8	802.6	23	23	23	23	23	23	23	23	23	23	3.948	16	164.0304369	18	1096.985801	17
FALSE	IsMasterProtein	P00374	Dihydrofolate reductase OS=Homo sapiens GN=DHFR PE=1 SV=2	56.68449198	9	20	9	1	187	21.439	7.42		1719; 573971	ENSG00000228716	DHFR; DHFRP1	5; 18	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytosol	catalytic activity;nucleotide binding;RNA binding	Pf00186	0.546	0.233	0.109	0.066	0.04	0.029	0.018	0.014	0.01	7395.5	4040.2	1725.1	807.2	485.3	292.7	211.8	133.8	102.3	73.4	9	9	9	9	9	9	9	9	9	9	3.394	0	33.52957296	8	200.4723369	9
FALSE	IsMasterProtein	P00387-3	Isoform 3 of NADH-cytochrome b5 reductase 3 OS=Homo sapiens GN=CYB5R3	10.77844311	3	10	3	1	334	38.202	6.9		1727	ENSG00000100243	CYB5R3	22	metabolic process	cytoplasm;endoplasmic reticulum;membrane;mitochondrion	catalytic activity;nucleotide binding	"Pf00175, Pf00970, Pf08030"	0.97	0.93	0.763	0.553	0.263	0.163	0.113	0.081	0.06	1041.5	1010.3	969.1	794.9	576.2	274.3	169.5	118	84.3	62.7	3	3	3	3	3	3	3	3	3	3	0.413	0	22.3352685	3	114.6	3
FALSE	IsMasterProtein	P00390	"Glutathione reductase, mitochondrial OS=Homo sapiens GN=GSR PE=1 SV=2"	40.22988506	18	131	3	1	522	56.221	8.5		2936	ENSG00000104687	GSR	8	cellular homeostasis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;mitochondrion;organelle lumen	antioxidant activity;catalytic activity;nucleotide binding	"Pf00070, Pf02852, Pf07992, Pf13738"	1.028	1.07	0.993	0.884	0.721	0.659	0.528	0.302	0.095	12102.1	12446.3	12944	12020.4	10699	8722.1	7970.2	6390.6	3655.5	1144.6	23	23	23	23	23	23	23	23	23	23	8.237	17	262.4598235	18	1524.13267	17
FALSE	IsMasterProtein	P00390-5	"Isoform 4 of Glutathione reductase, mitochondrial OS=Homo sapiens GN=GSR"	38.63636364	16	110	1	1	440	47.237	8.75		2936	ENSG00000104687	GSR	8	cellular homeostasis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;organelle lumen	antioxidant activity;catalytic activity;nucleotide binding	"Pf00070, Pf02852, Pf07992, Pf13738"	1.028	1.095	1.038	1.041	0.973	0.842	0.694	0.356	0.185	262.9	270.3	288	273	273.8	255.9	221.3	182.4	93.6	48.7	1	1	1	1	1	1	1	1	1	1	6.586	0	215.1760604	16	1211.349949	15
FALSE	IsMasterProtein	P00441	Superoxide dismutase [Cu-Zn] OS=Homo sapiens GN=SOD1 PE=1 SV=2	75.32467532	14	201	14	1	154	15.926	6.13		6647	ENSG00000142168	SOD1	21	cell death;cell organization and biogenesis;cellular component movement;cellular homeostasis;coagulation;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;extracellular;membrane;mitochondrion;nucleus;organelle lumen;vacuole	antioxidant activity;catalytic activity;metal ion binding;protein binding	Pf00080	0.978	0.992	0.938	0.89	0.753	0.717	0.704	0.701	0.644	16274.1	15916.3	16148.9	15261.7	14486.4	12251	11669.5	11452.1	11403.6	10472.5	17	17	17	17	17	17	17	17	17	17	45.416	0	380.3348792	14	2205.21141	11
FALSE	IsMasterProtein	P00480	"Ornithine carbamoyltransferase, mitochondrial OS=Homo sapiens GN=OTC PE=1 SV=3"	2.259887006	1	4	1	1	354	39.91	8.63		5009	ENSG00000036473	OTC	X	cell organization and biogenesis;metabolic process;response to stimulus	cytoplasm;membrane;mitochondrion;organelle lumen	catalytic activity	"Pf00185, Pf02729"	0.941	0.955	0.918	0.935	0.768	0.543	0.117	0.07	0.059	349.8	329.2	334.2	321.2	327.1	268.8	190	41.1	24.5	20.8	1	1	1	1	1	1	1	1	1	1	0.105	0	5.558019876	1	42.05	1
FALSE	IsMasterProtein	P00491	Purine nucleoside phosphorylase OS=Homo sapiens GN=PNP PE=1 SV=2	71.97231834	18	153	18	1	289	32.097	6.95		4860	ENSG00000198805	PNP	14	metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;nucleus	catalytic activity	Pf01048	0.994	1.045	0.952	0.872	0.738	0.686	0.65	0.583	0.441	12832.5	12749.4	13406.2	12214.5	11189.2	9476.5	8799.6	8347	7476.5	5653.5	28	28	28	28	28	28	28	28	28	28	27.48	0	273.8621068	18	1683.393925	14
