"Checked"	"Protein FDR Confidence"	"Master"	"Accession"	"Description"	"Exp. q-value"	"Sum PEP Score"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Found in Sample: [S2] F2: 126, Control, drugS"	"Found in Sample: [S12] F2: 127N, Sample, drugS"	"Found in Sample: [S13] F2: 127C, Sample, drugS"	"Found in Sample: [S14] F2: 128N, Sample, drugS"	"Found in Sample: [S15] F2: 128C, Sample, drugS"	"Found in Sample: [S16] F2: 129N, Sample, drugS"	"Found in Sample: [S17] F2: 129C, Sample, drugS"	"Found in Sample: [S18] F2: 130N, Sample, drugS"	"Found in Sample: [S19] F2: 130C, Sample, drugS"	"Found in Sample: [S20] F2: 131, Sample, drugS"	"Modifications"	"Area: 126, drugS"	"Area: 127N, drugS"	"Area: 127C, drugS"	"Area: 128N, drugS"	"Area: 128C, drugS"	"Area: 129N, drugS"	"Area: 129C, drugS"	"Area: 130N, drugS"	"Area: 130C, drugS"	"Area: 131, drugS"	"Abundance Ratio: (127N, drugS) / (126, drugS)"	"Abundance Ratio: (127C, drugS) / (126, drugS)"	"Abundance Ratio: (128N, drugS) / (126, drugS)"	"Abundance Ratio: (128C, drugS) / (126, drugS)"	"Abundance Ratio: (129N, drugS) / (126, drugS)"	"Abundance Ratio: (129C, drugS) / (126, drugS)"	"Abundance Ratio: (130N, drugS) / (126, drugS)"	"Abundance Ratio: (130C, drugS) / (126, drugS)"	"Abundance Ratio: (131, drugS) / (126, drugS)"	"Abundance: F2: 126, Control, drugS"	"Abundance: F2: 127N, Sample, drugS"	"Abundance: F2: 127C, Sample, drugS"	"Abundance: F2: 128N, Sample, drugS"	"Abundance: F2: 128C, Sample, drugS"	"Abundance: F2: 129N, Sample, drugS"	"Abundance: F2: 129C, Sample, drugS"	"Abundance: F2: 130N, Sample, drugS"	"Abundance: F2: 130C, Sample, drugS"	"Abundance: F2: 131, Sample, drugS"	"Abundances Count: F2: 126, Control, drugS"	"Abundances Count: F2: 127N, Sample, drugS"	"Abundances Count: F2: 127C, Sample, drugS"	"Abundances Count: F2: 128N, Sample, drugS"	"Abundances Count: F2: 128C, Sample, drugS"	"Abundances Count: F2: 129N, Sample, drugS"	"Abundances Count: F2: 129C, Sample, drugS"	"Abundances Count: F2: 130N, Sample, drugS"	"Abundances Count: F2: 130C, Sample, drugS"	"Abundances Count: F2: 131, Sample, drugS"	"emPAI"	"# Razor Peptides"	"Score Sequest HT"	"# Peptides Sequest HT"
"False"	"High"	"IsMasterProtein"	"P21333"	"Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4"	"0"	"999.009246115916"	"51.492255383453"	"101"	"320"	"89"	"1"	"2647"	"280.564"	"6.06"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"5.4e8"	"5.4e8"	"6.0e8"	"6.2e8"	"5.4e8"	"5.7e8"	"4.8e8"	"4.7e8"	"5.3e8"	"4.8e8"	"0.956"	"1.118"	"1.199"	"1.102"	"1.152"	"1.002"	"0.951"	"1.067"	"0.958"	"37253.3"	"35621.1"	"41654.7"	"44657.9"	"41055.2"	"42918.4"	"37316.4"	"35435.2"	"39732.0"	"35693.7"	"123"	"123"	"123"	"123"	"123"	"123"	"123"	"123"	"123"	"123"	"19.38"	"15"	"1195.80520248413"	"101"
"False"	"High"	"IsMasterProtein"	"Q9Y490"	"Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3"	"0"	"954.963343710869"	"47.8158205430933"	"91"	"282"	"91"	"1"	"2541"	"269.599"	"6.07"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"2.9e8"	"3.0e8"	"3.2e8"	"3.2e8"	"2.9e8"	"3.2e8"	"2.9e8"	"2.9e8"	"3.0e8"	"2.4e8"	"0.949"	"1.094"	"1.180"	"1.101"	"1.150"	"0.975"	"0.946"	"1.048"	"0.936"	"32342.8"	"30690.4"	"35382.7"	"38149.4"	"35619.9"	"37183.1"	"31535.2"	"30587.8"	"33892.1"	"30282.0"	"125"	"125"	"125"	"125"	"125"	"125"	"125"	"125"	"125"	"125"	"13.607"	"0"	"1025.19078493118"	"91"
"False"	"High"	"IsMasterProtein"	"Q14315"	"Filamin-C OS=Homo sapiens GN=FLNC PE=1 SV=3"	"0"	"886.690264298166"	"47.045871559633"	"100"	"287"	"86"	"1"	"2725"	"290.841"	"5.97"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"6.0e8"	"5.8e8"	"6.5e8"	"6.9e8"	"5.9e8"	"6.6e8"	"6.1e8"	"5.2e8"	"6.1e8"	"5.3e8"	"0.969"	"1.132"	"1.186"	"1.109"	"1.143"	"1.023"	"0.923"	"1.070"	"0.938"	"32875.0"	"31863.3"	"37219.2"	"38989.4"	"36448.9"	"37587.8"	"33628.9"	"30349.5"	"35169.9"	"30846.1"	"115"	"115"	"115"	"115"	"115"	"115"	"115"	"115"	"115"	"115"	"12.519"	"5"	"1019.72772908211"	"100"
"False"	"High"	"IsMasterProtein"	"Q09666"	"Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2"	"0"	"841.049836957744"	"42.427843803056"	"129"	"241"	"129"	"1"	"5890"	"628.699"	"6.15"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"2.1e8"	"2.0e8"	"2.5e8"	"2.4e8"	"2.1e8"	"2.2e8"	"2.0e8"	"1.8e8"	"2.2e8"	"1.7e8"	"0.989"	"1.102"	"1.174"	"1.057"	"1.153"	"1.000"	"0.932"	"1.051"	"0.935"	"32352.3"	"31985.2"	"35665.9"	"37966.5"	"34209.1"	"37312.9"	"32337.7"	"30164.6"	"34010.1"	"30255.9"	"145"	"145"	"145"	"145"	"145"	"145"	"145"	"145"	"145"	"145"	"1.784"	"0"	"819.468661785126"	"129"
"False"	"High"	"IsMasterProtein"	"Q15149-2"	"Isoform 2 of Plectin OS=Homo sapiens GN=PLEC"	"0"	"754.1048065723"	"32.5754263226935"	"133"	"203"	"1"	"1"	"4574"	"518.157"	"5.74"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"5.9e6"	"5.8e6"	"6.8e6"	"6.7e6"	"6.3e6"	"7.1e6"	"5.9e6"	"6.0e6"	"5.9e6"	"6.0e6"	"0.966"	"1.099"	"1.182"	"1.046"	"1.153"	"1.002"	"0.944"	"1.071"	"0.950"	"20639.2"	"19945.5"	"22691.9"	"24386.2"	"21597.5"	"23787.6"	"20672.5"	"19489.8"	"22099.5"	"19617.2"	"137"	"137"	"137"	"137"	"137"	"137"	"137"	"137"	"137"	"137"	"2.41"	"136"	"697.783396244049"	"133"
"False"	"High"	"IsMasterProtein"	"P35579"	"Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4"	"0"	"753.696650919523"	"44.7959183673469"	"81"	"207"	"64"	"1"	"1960"	"226.392"	"5.6"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.5e8"	"1.5e8"	"1.6e8"	"1.7e8"	"1.6e8"	"1.8e8"	"1.5e8"	"1.5e8"	"1.5e8"	"1.4e8"	"0.984"	"1.078"	"1.161"	"1.103"	"1.156"	"0.988"	"0.941"	"1.046"	"0.922"	"28291.6"	"27845.2"	"30494.6"	"32857.4"	"31208.2"	"32708.6"	"27944.6"	"26624.0"	"29599.8"	"26088.5"	"103"	"103"	"103"	"103"	"103"	"103"	"103"	"103"	"103"	"103"	"13.548"	"18"	"809.869585514069"	"81"
"False"	"High"	"IsMasterProtein"	"Q15149-8"	"Isoform 8 of Plectin OS=Homo sapiens GN=PLEC"	"0"	"751.689683441786"	"32.7734806629834"	"133"	"202"	"1"	"1"	"4525"	"513.393"	"5.76"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.3e6"	"1.3e6"	"1.5e6"	"1.7e6"	"1.5e6"	"1.7e6"	"1.5e6"	"1.3e6"	"1.4e6"	"1.3e6"	"1.022"	"1.166"	"1.268"	"1.136"	"1.273"	"1.110"	"0.965"	"1.081"	"0.952"	"116.6"	"119.2"	"135.9"	"147.9"	"132.4"	"148.4"	"129.4"	"112.5"	"126.1"	"111.0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2.435"	"0"	"693.342672109604"	"133"
"False"	"High"	"IsMasterProtein"	"O75369-8"	"Isoform 8 of Filamin-B OS=Homo sapiens GN=FLNB"	"0"	"734.00199518369"	"41.8154196733764"	"89"	"251"	"77"	"1"	"2633"	"281.459"	"5.71"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"3.2e8"	"3.4e8"	"3.5e8"	"4.1e8"	"3.6e8"	"3.8e8"	"3.4e8"	"3.3e8"	"3.4e8"	"3.0e8"	"0.974"	"1.132"	"1.211"	"1.102"	"1.154"	"1.024"	"0.937"	"1.062"	"0.962"	"26459.2"	"25771.7"	"29944.1"	"32046.8"	"29153.2"	"30543.1"	"27102.7"	"24788.4"	"28104.8"	"25440.9"	"96"	"96"	"96"	"96"	"96"	"96"	"96"	"96"	"96"	"96"	"10.739"	"0"	"841.619838953018"	"89"
"False"	"High"	"IsMasterProtein"	"Q9UPN3"	"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens GN=MACF1 PE=1 SV=4"	"0"	"693.602138602318"	"22.1304818624797"	"144"	"187"	"34"	"1"	"7388"	"837.787"	"5.39"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"2.5e7"	"2.3e7"	"2.8e7"	"2.9e7"	"2.4e7"	"2.8e7"	"2.3e7"	"2.2e7"	"2.5e7"	"2.3e7"	"0.948"	"1.060"	"1.157"	"0.998"	"1.156"	"0.956"	"0.952"	"1.049"	"0.940"	"24577.9"	"23307.9"	"26062.9"	"28443.7"	"24523.7"	"28411.2"	"23504.1"	"23395.6"	"25786.9"	"23092.0"	"144"	"144"	"144"	"144"	"144"	"144"	"144"	"144"	"144"	"144"	"1.227"	"109"	"651.261543750763"	"144"
"False"	"High"	"IsMasterProtein"	"P18206"	"Vinculin OS=Homo sapiens GN=VCL PE=1 SV=4"	"0"	"681.050710674784"	"63.7566137566138"	"63"	"298"	"63"	"1"	"1134"	"123.722"	"5.66"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.2e9"	"1.1e9"	"1.4e9"	"1.4e9"	"1.3e9"	"1.2e9"	"1.2e9"	"1.0e9"	"1.1e9"	"1.0e9"	"0.978"	"1.125"	"1.175"	"1.105"	"1.123"	"1.018"	"0.914"	"1.075"	"0.936"	"35575.4"	"34778.1"	"40007.1"	"41814.6"	"39309.8"	"39935.6"	"36198.4"	"32526.1"	"38255.0"	"33311.6"	"102"	"102"	"102"	"102"	"102"	"102"	"102"	"102"	"102"	"102"	"81.54"	"0"	"981.781673431396"	"63"
